"PostdocNum","NIH_grants","NIH_order"
"5303",1165,13.1733163281279,1
"9884",440,10.6208538743983,2
"7242",324,5.58187076405819,3
"11643",528,4.60198232257203,4
"3982",622,4.3911103851121,5
"22",297,4.30917349752645,6
"12171",462,4.25540491616942,7
"7566",610,4.16408651999479,8
"8774",278,4.11003725673551,9
"9524",360,3.95817540938526,10
"8531",243,3.7233998641674,11
"11355",151,3.71636729073817,12
"12633",316,3.60490987103964,13
"10324",121,2.9212943096902,14
"6472",280,2.4406347937197,15
"11058",229,2.38368079493387,16
"10539",466,2.32204059610956,17
"11506",137,2.0275744359044,18
"3763",31,1.66031623064945,19
"7036",183,1.59967602741035,20
"11287",56,1.57643568493486,21
"12951",18,1.52865944353506,22
"616",469,1.51374270255809,23
"12969",111,1.4158330558862,24
"3794",188,1.40320726093438,25
"9076",448,1.21215780033012,26
"1526",625,1.15824987426547,27
"7219",23,1.09142651809346,28
"408",140,0.926123405203412,29
"1085",441,0.603963435316297,30
"11005",53,0.434797097147555,31
"6752",284,0.403444563807038,32
"548",68,0.370954889672306,33
"10494",45,0.347304767662921,34
"21",1,0.169761315487695,35
"10445",49,0.1386926727298,36
"11343",12,0.11984943854282,37
"405",3,0.0194905854498956,38
